text,closed,all,min,max,date,dow,tweet_id,timestamp
"WEDNESDAY MARCH 27, 2013 jurors with summonses numbered 4000 through and including 4600 are to report for jury service.",0,0.0,4000,4600,2013-03-27T00:00:00Z,Wednesday,316678463148929025,2013-03-26 22:30:03 +0000
"TUESDAY MARCH 26, 2013 jurors with summonses numbered 2000 through and including 2900 are to report for jury service.",0,0.0,2000,2900,2013-03-26T00:00:00Z,Tuesday,316316073995689984,2013-03-25 22:30:03 +0000
"MONDAY MARCH 25, 2013 jurors with summonses numbered 1 through and including 900 are to report for jury service.",0,0.0,1,900,2013-03-25T00:00:00Z,Monday,315953684968271872,2013-03-24 22:30:03 +0000
"FRIDAY MARCH 22, 2013 jurors with summonses numbered 8000 through and including 8500 are to report for jury service.",0,0.0,8000,8500,2013-03-22T00:00:00Z,Friday,314866523657367552,2013-03-21 22:30:03 +0000
"THURSDAY MARCH 21, 2013 jurors with summonses numbered 6000 through and including 7200 are to report for jury service.",0,0.0,6000,7200,2013-03-21T00:00:00Z,Thursday,314504136043417600,2013-03-20 22:30:03 +0000
"WEDNESDAY MARCH 20, 2013 jurors with summonses numbered 4000 through and including 4900 are to report for jury service.",0,0.0,4000,4900,2013-03-20T00:00:00Z,Wednesday,314141747808727040,2013-03-19 22:30:03 +0000
"TUESDAY MARCH 19, 2013 jurors with summonses numbered 2000 through and including 2500 are to report for jury service.",0,0.0,2000,2500,2013-03-19T00:00:00Z,Tuesday,313779359037157376,2013-03-18 22:30:03 +0000
"MONDAY MARCH 18, 2013 jurors with summonses numbered 1 through and including 500 are to report for jury service.",0,0.0,1,500,2013-03-18T00:00:00Z,Monday,313416971997822977,2013-03-17 22:30:03 +0000
"FRIDAY MARCH 15, 2013 jurors with summonses numbered 8000 through and including 8700 are to report for jury service.",0,0.0,8000,8700,2013-03-15T00:00:00Z,Friday,312329810032594944,2013-03-14 22:30:04 +0000
"THURSDAY MARCH 14, 2013 jurors with summonses numbered 6000 through and including 6500 are to report for jury service.",0,0.0,6000,6500,2013-03-14T00:00:00Z,Thursday,311967420220854274,2013-03-13 22:30:03 +0000
"WEDNESDAY MARCH 13, 2013 jurors with summonses numbered 4000 through and including 4500 are to report for jury service.",0,0.0,4000,4500,2013-03-13T00:00:00Z,Wednesday,311605029188534272,2013-03-12 22:30:02 +0000
"TUESDAY MARCH 12, 2013 jurors with summonses numbered 2000 through and including 2700 are to report for jury service.",0,0.0,2000,2700,2013-03-12T00:00:00Z,Tuesday,311242645219467267,2013-03-11 22:30:03 +0000
"MONDAY MARCH 11, 2013 jurors with summonses numbered 1 through and including 1100 are to report for jury service.",0,0.0,1,1100,2013-03-11T00:00:00Z,Monday,310880254946320387,2013-03-10 22:30:03 +0000
"FRIDAY MARCH 8, 2013 jurors with summonses numbered 8000 through and including 9100 are to report for jury service.",0,0.0,8000,9100,2013-03-08T00:00:00Z,Friday,309808191414345729,2013-03-07 23:30:03 +0000
